"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
33,1,3.15107,3.05839,0.0926784
128,3,8.15184,7.96515,0.186683
92,7,5.69948,5.29649,0.402994
228,2,17.0497,16.9014,0.148258
96,9,8.13323,7.4361,0.697134
365,17,13.2501,12.6604,0.589664
81,14,5.60803,4.78158,0.826446
656,161,13.6189,10.9352,2.68378
194,41,5.17735,4.27407,0.903283
216,73,7.90698,5.90971,1.99726
70,4,6.17696,5.84307,0.33389
303,11,15.6297,15.0821,0.547536
137,6,7.52632,7.21053,0.315789
445,5,25.4813,25.1982,0.283126
234,13,12.6602,11.9938,0.666325
792,15,21.076,20.6843,0.391747
206,28,10.8635,9.5636,1.29991
666,155,13.2805,10.7732,2.50728
386,55,7.80669,6.83307,0.973624
274,78,7.93508,6.17674,1.75834
99,7,7.81135,7.2955,0.515844
528,7,19.9776,19.7162,0.261389
195,28,9.81082,8.57897,1.23185
890,2,32.2721,32.1997,0.0723589
223,20,11.7391,10.7729,0.966184
703,28,17.5342,16.8626,0.671624
203,32,9.71878,8.39537,1.32341
542,117,11.6658,9.59462,2.07116
462,70,8.57373,7.44561,1.12812
325,82,9.36709,7.47986,1.88723
141,10,10,9.33775,0.662252
397,5,14.7903,14.6063,0.183959
330,10,13.4494,13.0538,0.39557
962,12,28.5129,28.1616,0.351288
300,16,14.7319,13.986,0.745921
846,52,20.7582,19.5562,1.20203
221,45,11.0465,9.17774,1.86877
542,110,13.3252,11.077,2.24811
633,106,11.3938,9.75948,1.63429
477,98,12.7806,10.6024,2.17826
201,12,12.8082,12.0866,0.721587
415,13,15.9821,15.4966,0.485437
354,12,14.0661,13.6049,0.461184
946,12,27.3871,27.044,0.343053
388,22,17.7489,16.7965,0.952381
1064,61,25.6967,24.3033,1.39333
330,59,14.9558,12.6874,2.26836
889,166,18.4054,15.5094,2.89602
893,155,15.0791,12.8489,2.23022
625,117,15.737,13.2556,2.48144
251,25,16.5269,15.0299,1.49701
408,9,16.6268,16.2679,0.358852
276,17,12.3109,11.5966,0.714286
938,24,27.5803,26.8922,0.688073
