"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
85,29,22.4,16.7,5.7
72,4,20.49,19.41,1.08
18,3,17.07,14.63,2.44
80,12,13.14,11.43,1.71
506,49,29.9,27.26,2.64
23,0,24.21,24.21,0
35,8,13.69,11.15,2.55
55,29,9.15,5.99,3.16
253,14,15.15,14.36,0.79
146,10,22.51,21.07,1.44
19,2,12.88,11.66,1.23
214,29,22.03,19.4,2.63
12,1,10.57,9.76,0.81
53,5,20.94,19.13,1.81
26,2,34.57,32.1,2.47
X,X,X,X,X
X,X,X,X,X
205,27,25.58,22.6,2.98
210,115,11.26,7.27,3.98
60,29,10.88,7.33,3.55
X,X,X,X,X
760,69,21.81,19.99,1.82
92,2,18.36,17.97,0.39
416,138,36.96,27.75,9.21
21,6,4.71,3.66,1.05
X,X,X,X,X
64,10,12.29,10.63,1.66
6,2,10.26,7.69,2.56
136,8,24.16,22.82,1.34
2005,353,35.7,30.36,5.34
194,17,20.19,18.56,1.63
15,1,9.58,8.98,0.6
37,8,12.97,10.66,2.31
223,75,20.67,15.46,5.2
189,11,19.49,18.42,1.07
300,11,17.35,16.74,0.61
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
312,43,23.29,20.47,2.82
X,X,X,X,X
172,12,30.26,28.29,1.97
88,15,33.55,28.66,4.89
1090,205,38.78,32.64,6.14
292,35,21.4,19.11,2.29
77,11,10.76,9.41,1.34
54,19,17.22,12.74,4.48
X,X,X,X,X
419,260,21.27,13.12,8.14
448,66,20.71,18.05,2.66
39,6,14.33,12.42,1.91
46,33,34.05,19.83,14.22
361,19,36.68,34.85,1.83
130,30,29.09,23.64,5.45
129,5,29.39,28.29,1.1
19,3,15.71,13.57,2.14
95,14,15.44,13.46,1.98
508,62,28.95,25.8,3.15
18,0,16.22,16.22,0
74,5,23.51,22.02,1.49
122,36,16.48,12.72,3.75
405,35,20.56,18.93,1.64
220,10,25.93,24.8,1.13
13,2,9.74,8.44,1.3
237,36,21.7,18.84,2.86
30,1,17.92,17.34,0.58
71,10,26.47,23.2,3.27
30,2,41.56,38.96,2.6
X,X,X,X,X
X,X,X,X,X
269,51,29.12,24.48,4.64
343,191,15.81,10.15,5.65
90,21,13.81,11.19,2.61
X,X,X,X,X
1235,88,27.3,25.48,1.82
106,7,18.9,17.73,1.17
432,186,36.16,25.28,10.88
55,22,10.81,7.72,3.09
X,X,X,X,X
83,19,15.07,12.26,2.81
5,1,9.23,7.69,1.54
138,14,21.23,19.27,1.96
1895,314,34.47,29.57,4.9
384,38,29.72,27.04,2.68
46,7,21.9,19.01,2.89
68,16,17.36,14.05,3.31
336,80,22.45,18.13,4.32
407,16,29.05,27.95,1.1
547,23,24.61,23.62,0.99
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
388,50,26.77,23.72,3.06
0,1,5,0,5
189,23,26.94,24.02,2.92
83,20,30.56,24.63,5.93
823,191,30.99,25.15,5.84
234,52,19.03,15.57,3.46
137,30,13.19,10.82,2.37
82,21,22.79,18.14,4.65
X,X,X,X,X
386,135,20.81,15.42,5.39
730,118,28.9,24.88,4.02
39,11,16.78,13.09,3.69
42,35,30.56,16.67,13.89
371,34,33.92,31.07,2.85
200,36,28.85,24.45,4.4
150,10,29.14,27.32,1.82
36,2,23.17,21.95,1.22
129,47,18.78,13.77,5.02
357,72,24.71,20.56,4.15
20,0,14.08,14.08,0
67,21,23.04,17.54,5.5
173,42,17.95,14.44,3.51
606,40,24.15,22.65,1.5
270,10,26.14,25.21,0.93
17,2,11.73,10.49,1.23
287,78,25.31,19.9,5.41
29,4,16.42,14.43,1.99
72,10,25.79,22.64,3.14
15,2,29.31,25.86,3.45
X,X,X,X,X
X,X,X,X,X
309,99,30.27,22.92,7.34
498,225,18.75,12.92,5.84
156,23,17,14.81,2.18
80,11,30.64,26.94,3.7
1354,139,27.26,24.73,2.54
91,6,16.96,15.91,1.05
417,186,33.69,23.3,10.39
78,23,12.52,9.67,2.85
X,X,X,X,X
107,21,15.55,13,2.55
4,2,7.79,5.19,2.6
156,19,22.35,19.92,2.43
1718,365,32.61,26.9,5.71
362,66,28.88,24.43,4.45
45,6,19.39,17.11,2.28
97,21,22.65,18.62,4.03
411,135,24.36,18.34,6.02
285,21,21.72,20.23,1.49
776,42,27.58,26.16,1.42
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
607,79,32.43,28.7,3.74
0,0,0,0,0
128,15,22.38,20.03,2.35
107,42,40.49,29.08,11.41
460,179,22.09,15.9,6.19
230,58,17.89,14.29,3.6
182,41,19.63,16.02,3.61
86,31,26.23,19.28,6.95
X,X,X,X,X
597,208,24.99,18.53,6.46
922,136,28.89,25.18,3.71
25,5,13.64,11.36,2.27
51,13,29.91,23.83,6.07
322,34,31.45,28.45,3
206,39,32.19,27.07,5.12
187,22,33.02,29.54,3.48
31,2,17.1,16.06,1.04
122,28,15.91,12.94,2.97
409,117,30.06,23.37,6.69
25,1,21.14,20.33,0.81
114,23,27.9,23.22,4.68
237,48,20.67,17.19,3.48
776,60,26.88,24.95,1.93
386,22,30.2,28.57,1.63
18,5,13.14,10.29,2.86
330,94,27.18,21.15,6.03
40,8,25.81,21.51,4.3
92,17,31.41,26.51,4.9
16,4,27.4,21.92,5.48
X,X,X,X,X
X,X,X,X,X
336,135,28.84,20.58,8.27
739,271,22.12,16.18,5.94
210,49,24.03,19.48,4.55
93,12,30,26.57,3.43
1449,162,29.38,26.42,2.95
137,9,21.28,19.97,1.31
399,270,34.48,20.57,13.92
155,44,17.93,13.96,3.96
X,X,X,X,X
266,54,25.76,21.42,4.35
8,2,10.53,8.42,2.11
157,8,22.36,21.27,1.08
1763,480,33.32,26.19,7.13
374,69,27.65,23.35,4.31
68,13,24.4,20.48,3.92
175,32,28.05,23.71,4.34
402,173,22.84,15.97,6.87
378,19,27.32,26.02,1.31
1149,56,29.43,28.07,1.37
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
525,95,31.3,26.5,4.8
X,X,X,X,X
52,9,11.87,10.12,1.75
79,46,34.44,21.76,12.67
269,145,16.72,10.86,5.86
177,54,14.75,11.3,3.45
233,52,22.53,18.42,4.11
114,42,28.57,20.88,7.69
X,X,X,X,X
716,301,25.86,18.21,7.66
834,177,27.94,23.05,4.89
26,7,13.2,10.4,2.8
56,9,27.31,23.53,3.78
398,64,39.32,33.87,5.45
140,53,30.44,22.08,8.36
229,52,37.17,30.29,6.88
37,7,19.47,16.37,3.1
126,39,18.71,14.29,4.42
321,100,26.9,20.51,6.39
37,3,24.24,22.42,1.82
181,24,30.28,26.74,3.55
289,61,23.43,19.34,4.08
1025,85,31.81,29.38,2.44
446,17,32.22,31.04,1.18
13,3,10.88,8.84,2.04
188,72,20.68,14.96,5.73
19,6,15.72,11.95,3.77
77,21,24.44,19.2,5.24
10,5,26.79,17.86,8.93
X,X,X,X,X
X,X,X,X,X
317,182,27.72,17.61,10.11
793,379,25.38,17.18,8.21
266,70,27.14,21.49,5.65
99,4,30.03,28.86,1.17
1258,180,26.19,22.91,3.28
192,18,24.82,22.7,2.13
242,223,27.24,14.18,13.06
209,84,23.02,16.42,6.6
X,X,X,X,X
264,43,23.36,20.09,3.27
7,2,12.5,9.72,2.78
117,17,21.97,19.18,2.79
1692,649,35.97,25.99,9.97
337,93,27.53,21.57,5.95
74,14,23.16,19.47,3.68
190,40,25.19,20.81,4.38
338,172,21.53,14.27,7.26
236,22,20.24,18.51,1.73
1244,80,31.74,29.82,1.92
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
412,99,25.58,20.62,4.95
0,0,0,0,0
40,8,9.94,8.28,1.66
107,97,37.43,19.63,17.8
216,187,16.6,8.9,7.7
220,78,15.54,11.47,4.07
323,104,26.29,19.89,6.4
166,43,33.44,26.56,6.88
X,X,X,X,X
1205,120,23.7,21.55,2.15
909,293,29.32,22.18,7.15
13,11,8.45,4.58,3.87
25,8,17.19,13.02,4.17
308,85,34.69,27.18,7.5
170,57,30.31,22.7,7.61
282,58,35.45,29.41,6.05
42,6,19.92,17.43,2.49
99,57,16.46,10.44,6.01
204,116,22.46,14.32,8.14
57,3,23.53,22.35,1.18
241,44,31.46,26.6,4.86
389,120,28.44,21.73,6.7
1380,139,35.4,32.16,3.24
396,32,30.81,28.51,2.3
14,8,14.38,9.15,5.23
183,76,18.49,13.06,5.42
29,9,16.89,12.89,4
75,33,24.27,16.85,7.42
14,7,29.58,19.72,9.86
X,X,X,X,X
X,X,X,X,X
250,275,25.61,12.2,13.41
1242,696,30.5,19.55,10.95
302,59,23.72,19.84,3.88
140,16,31.2,28,3.2
1389,255,27.55,23.28,4.27
169,40,25,20.22,4.78
219,214,23.39,11.83,11.56
310,117,26.2,19.02,7.18
X,X,X,X,X
341,80,26.2,21.22,4.98
5,2,8.24,5.88,2.35
120,23,21.7,18.21,3.49
1715,1003,37.13,23.43,13.7
265,131,24.49,16.39,8.1
106,19,23.19,19.67,3.53
246,50,26.48,22,4.47
297,176,19.07,11.98,7.1
177,25,14.83,13,1.84
1353,115,32.54,29.99,2.55
8,0,66.67,66.67,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
353,111,24.13,18.36,5.77
0,0,0,0,0
34,16,8.98,6.1,2.87
93,135,35.79,14.6,21.19
208,233,17.58,8.29,9.29
211,114,16.32,10.59,5.72
286,135,26.36,17.91,8.45
197,91,38.4,26.27,12.13
X,X,X,X,X
889,418,21.13,14.37,6.76
743,268,34.14,25.09,9.05
8,11,6.79,2.86,3.93
19,15,19.65,10.98,8.67
246,73,29.56,22.8,6.77
135,69,27.02,17.88,9.14
236,112,35.88,24.33,11.55
28,12,19.05,13.33,5.71
95,40,17.07,12.01,5.06
186,151,21.77,12.02,9.75
85,8,30.19,27.6,2.6
236,43,30.13,25.49,4.64
567,155,31.24,24.53,6.71
1099,129,30.85,27.61,3.24
357,29,30.11,27.85,2.26
7,15,12.94,4.12,8.82
208,163,19.65,11.02,8.63
37,19,19.11,12.63,6.48
92,33,24.75,18.22,6.53
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
195,322,25.04,9.44,15.59
1398,849,31.31,19.48,11.83
288,85,26.53,20.48,6.05
90,9,26.54,24.13,2.41
1310,335,27.61,21.99,5.62
109,59,21.79,14.14,7.65
152,167,19.93,9.49,10.43
388,185,29.75,20.15,9.61
X,X,X,X,X
270,69,22.5,17.92,4.58
5,0,7.25,7.25,0
104,38,23.09,16.91,6.18
1358,1290,35.07,17.98,17.08
258,199,25.62,14.46,11.15
130,29,28.55,23.34,5.21
359,114,32.05,24.32,7.72
242,227,20.22,10.44,9.79
133,29,12.04,9.88,2.15
1239,163,31.39,27.74,3.65
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
306,179,24.05,15.17,8.87
X,X,X,X,X
23,30,10.21,4.43,5.78
83,168,33.69,11.14,22.55
178,307,17.46,6.41,11.05
150,92,13.54,8.39,5.15
297,199,28.94,17.33,11.61
204,125,40.17,24.91,15.26
X,X,X,X,X
719,330,19.41,13.3,6.11
781,460,30.16,18.98,11.18
15,23,13.97,5.51,8.46
13,12,16.67,8.67,8
201,90,28.75,19.86,8.89
111,53,23.77,16.09,7.68
155,176,35.9,16.81,19.09
13,4,11.41,8.72,2.68
71,54,15.55,8.83,6.72
114,96,15.96,8.66,7.29
96,10,29.28,26.52,2.76
228,45,32.58,27.21,5.37
644,249,36.32,26.19,10.13
868,133,28.81,24.98,3.83
347,41,29.55,26.43,3.12
7,13,13.25,4.64,8.61
176,158,21.17,11.15,10.01
19,18,14.62,7.51,7.11
114,70,30.11,18.66,11.46
2,3,7.69,3.08,4.62
X,X,X,X,X
X,X,X,X,X
167,293,22.19,8.06,14.13
1513,953,32.81,20.13,12.68
264,108,26.76,18.99,7.77
77,9,24.64,22.06,2.58
1287,402,27.46,20.92,6.54
124,66,23.4,15.27,8.13
120,140,17.5,8.08,9.42
345,235,32.71,19.46,13.25
X,X,X,X,X
257,101,24.52,17.6,6.92
4,0,5.97,5.97,0
122,79,26.07,15.82,10.25
1025,1236,32.48,14.72,17.75
170,211,22.36,9.98,12.38
149,32,29.62,24.39,5.24
385,159,34.45,24.38,10.07
225,178,18.55,10.35,8.19
97,57,11.87,7.48,4.39
1284,242,33.63,28.29,5.33
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
162,131,17.95,9.93,8.03
X,X,X,X,X
16,33,8.97,2.93,6.04
40,176,31.95,5.92,26.04
142,292,16.66,5.45,11.21
115,118,13.24,6.53,6.7
307,228,29.49,16.92,12.57
94,90,32.68,16.7,15.99
X,X,X,X,X
578,312,19.64,12.75,6.88
436,317,26.97,15.62,11.35
7,16,7.57,2.3,5.26
12,11,15.23,7.95,7.28
166,113,28.32,16.85,11.47
129,100,30.61,17.25,13.37
119,174,34.96,14.2,20.76
16,19,19.34,8.84,10.5
72,70,17.49,8.87,8.62
71,77,13.96,6.7,7.26
110,9,31.65,29.26,2.39
208,65,33.29,25.37,7.93
641,301,36.61,24.91,11.7
645,164,27.18,21.67,5.51
282,70,27.08,21.69,5.38
6,6,9.6,4.8,4.8
166,179,19.61,9.44,10.18
34,10,18.72,14.47,4.26
80,94,32.4,14.9,17.5
3,10,19.7,4.55,15.15
X,X,X,X,X
X,X,X,X,X
70,256,17.81,3.83,13.99
1457,1064,31.98,18.48,13.5
161,102,22.25,13.62,8.63
64,14,26.8,21.99,4.81
1245,548,30.18,20.96,9.22
98,106,26.6,12.78,13.82
99,115,18.1,8.38,9.73
318,200,29.94,18.38,11.56
X,X,X,X,X
145,103,21.18,12.38,8.8
4,4,12.5,6.25,6.25
81,87,20.36,9.82,10.55
733,1252,31.08,11.48,19.61
138,232,24.25,9.04,15.2
153,26,33.58,28.71,4.88
260,144,31.05,19.98,11.07
149,172,15.91,7.38,8.52
130,81,16.69,10.28,6.41
972,295,29.84,22.89,6.95
0,3,25,0,25
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
61,79,12.69,5.53,7.16
X,X,X,X,X
11,21,6.74,2.32,4.42
22,131,28.23,4.06,24.17
90,204,13.76,4.21,9.55
82,94,11.68,5.44,6.24
179,219,25.53,11.48,14.05
34,46,19.66,8.35,11.3
X,X,X,X,X
397,258,17.63,10.69,6.94
171,157,18.53,9.66,8.87
5,10,5.81,1.94,3.88
5,9,12.73,4.55,8.18
90,93,22.29,10.96,11.33
81,81,28.17,14.09,14.09
93,169,34.2,12.14,22.06
11,17,19.05,7.48,11.56
36,65,13.43,4.79,8.64
34,56,10.78,4.07,6.71
40,8,21.62,18.02,3.6
87,46,24.4,15.96,8.44
451,222,32.99,22.11,10.88
526,182,25.56,18.99,6.57
232,62,26.46,20.88,5.58
4,3,7.37,4.21,3.16
109,162,16.86,6.78,10.08
23,21,16.67,8.71,7.95
73,86,33.97,15.6,18.38
5,7,17.91,7.46,10.45
X,X,X,X,X
X,X,X,X,X
102,196,19.92,6.82,13.1
830,742,27.29,14.41,12.88
43,50,12.27,5.67,6.6
46,19,24.34,17.23,7.12
811,611,28.06,16,12.06
56,51,19.45,10.18,9.27
84,129,18.95,7.47,11.48
223,197,29.07,15.43,13.63
X,X,X,X,X
68,75,17.21,8.18,9.03
4,4,12.12,6.06,6.06
36,36,15.16,7.58,7.58
379,707,22.92,8,14.92
87,165,20.22,6.98,13.24
154,22,30.5,26.69,3.81
116,77,23.68,14.23,9.45
144,208,18.95,7.75,11.19
68,58,12.32,6.65,5.67
676,331,28.46,19.11,9.36
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
34,46,9.66,4.11,5.56
0,1,8.33,0,8.33
8,31,10.89,2.23,8.66
20,58,20.31,5.21,15.1
94,253,16.29,4.41,11.88
78,88,12.86,6.04,6.82
108,141,19.9,8.63,11.27
16,42,16.48,4.55,11.93
X,X,X,X,X
278,222,16.23,9.02,7.21
63,72,11.39,5.32,6.08
6,4,4.39,2.63,1.75
9,4,10.08,6.98,3.1
48,72,18.15,7.26,10.89
54,49,24.58,12.89,11.69
62,180,34.52,8.84,25.68
6,25,22.96,4.44,18.52
14,33,8.22,2.45,5.77
9,43,8.18,1.42,6.76
52,4,26.05,24.19,1.86
48,21,17.47,12.15,5.32
299,166,29.01,18.65,10.36
399,179,24,16.57,7.43
120,74,20.36,12.59,7.76
3,4,8.97,3.85,5.13
55,92,12.73,4.76,7.97
39,28,22.79,13.27,9.52
59,93,36.02,13.98,22.04
4,4,19.51,9.76,9.76
X,X,X,X,X
X,X,X,X,X
71,129,15.2,5.4,9.8
396,372,18.48,9.53,8.95
38,21,10.07,6.48,3.58
34,24,20.35,11.93,8.42
468,376,21.83,12.11,9.73
6,37,11.11,1.55,9.56
69,119,17.96,6.59,11.37
139,126,21.56,11.31,10.25
X,X,X,X,X
21,24,7.59,3.54,4.05
3,7,14.08,4.23,9.86
9,17,8.61,2.98,5.63
213,435,17.56,5.77,11.79
89,217,20.03,5.82,14.2
113,23,29.96,24.89,5.07
59,46,15.79,8.87,6.92
151,159,16.94,8.25,8.69
43,26,8.54,5.32,3.22
418,301,25.43,14.79,10.65
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
10,22,4.74,1.48,3.26
0,2,14.29,0,14.29
8,16,6.09,2.03,4.06
22,31,16.72,6.94,9.78
104,230,16.36,5.1,11.27
76,82,12.94,6.22,6.72
58,90,14.08,5.52,8.56
13,32,15.85,4.58,11.27
X,X,X,X,X
219,187,15.12,8.15,6.96
54,34,8.55,5.25,3.3
5,4,4.41,2.45,1.96
3,13,17.02,3.19,13.83
25,83,18.52,4.29,14.24
22,42,17.02,5.85,11.17
39,127,29.48,6.93,22.56
4,12,11.11,2.78,8.33
11,26,7.23,2.15,5.08
8,24,5.2,1.3,3.9
37,5,23.46,20.67,2.79
37,23,16.13,9.95,6.18
120,119,18.83,9.46,9.38
239,181,19.43,11.05,8.37
61,84,18.83,7.92,10.91
0,0,0,0,0
45,73,11.15,4.25,6.9
58,24,28.28,20,8.28
44,61,30.35,12.72,17.63
2,6,20,5,15
X,X,X,X,X
X,X,X,X,X
45,110,15.12,4.39,10.73
234,234,13.57,6.79,6.79
33,19,10.36,6.57,3.78
23,22,18.75,9.58,9.17
293,274,18.68,9.65,9.03
8,33,11.88,2.32,9.57
71,124,19.64,7.15,12.49
82,70,18.42,9.94,8.48
X,X,X,X,X
18,16,6.92,3.67,3.26
4,6,20,8,12
6,27,11.26,2.05,9.22
82,196,9.93,2.93,7
62,170,18.01,4.81,13.2
57,23,20.89,14.88,6.01
32,29,11.71,6.14,5.57
178,188,20.85,10.14,10.71
16,27,6.22,2.32,3.91
264,277,23.67,11.55,12.12
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
11,32,6.49,1.66,4.83
X,X,X,X,X
7,31,10.58,1.95,8.64
16,18,12.32,5.8,6.52
91,227,16.09,4.61,11.49
75,86,14.09,6.56,7.52
31,62,10.59,3.53,7.06
12,24,16.9,5.63,11.27
X,X,X,X,X
191,169,14.36,7.62,6.74
53,42,9.38,5.23,4.15
5,8,5.65,2.17,3.48
1,11,13.33,1.11,12.22
22,63,17.63,4.56,13.07
23,50,19.01,5.99,13.02
17,68,21.09,4.22,16.87
5,15,17.39,4.35,13.04
5,20,5.11,1.02,4.09
11,21,6.07,2.09,3.98
30,12,25.61,18.29,7.32
24,39,17.9,6.82,11.08
107,96,20.3,10.7,9.6
220,210,21.25,10.87,10.38
46,81,19.57,7.09,12.48
0,1,1.75,0,1.75
35,59,9.98,3.72,6.26
35,41,29.23,13.46,15.77
37,51,32.96,13.86,19.1
1,5,14.63,2.44,12.2
X,X,X,X,X
X,X,X,X,X
23,84,13.34,2.87,10.47
179,210,12.6,5.8,6.8
20,24,10.5,4.77,5.73
23,19,21.54,11.79,9.74
298,340,22.32,10.42,11.89
4,27,9.94,1.28,8.65
41,90,16.56,5.18,11.38
51,79,15.82,6.2,9.61
X,X,X,X,X
12,18,7.08,2.83,4.25
4,3,14,8,6
5,18,12.85,2.79,10.06
43,114,7.56,2.07,5.49
61,127,16.26,5.28,10.99
37,16,20.78,14.51,6.27
50,58,16.64,7.7,8.94
122,225,21.17,7.44,13.73
14,25,5.64,2.03,3.62
206,312,22.88,9.1,13.78
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
10,26,6.99,1.94,5.05
X,X,X,X,X
2,21,7.03,0.61,6.42
5,10,8.15,2.72,5.43
45,122,10.23,2.76,7.48
52,71,13.02,5.5,7.51
33,50,11.16,4.44,6.72
5,26,16.76,2.7,14.05
X,X,X,X,X
188,174,14.64,7.6,7.04
43,34,8.71,4.86,3.85
2,5,3.13,0.89,2.23
6,13,20.88,6.59,14.29
20,78,19.14,3.91,15.23
21,42,18.42,6.14,12.28
14,62,20.6,3.79,16.8
0,12,11.65,0,11.65
11,26,7.64,2.27,5.37
4,23,5.87,0.87,5
20,8,18.42,13.16,5.26
23,34,20.58,8.3,12.27
85,77,14.89,7.81,7.08
249,269,25.33,12.18,13.15
34,65,16.78,5.76,11.02
1,0,3.45,3.45,0
20,37,7.07,2.48,4.59
23,31,24.11,10.27,13.84
18,32,21.65,7.79,13.85
2,2,12.9,6.45,6.45
X,X,X,X,X
X,X,X,X,X
21,39,9.09,3.18,5.91
180,180,12.58,6.29,6.29
15,29,12.02,4.1,7.92
16,13,15.68,8.65,7.03
282,388,23.49,9.89,13.6
3,11,6.39,1.37,5.02
39,54,13.62,5.71,7.91
43,80,17.5,6.12,11.38
X,X,X,X,X
19,23,9.35,4.23,5.12
3,2,10,6,4
6,16,11.46,3.13,8.33
37,78,6.61,2.13,4.48
37,84,13.8,4.22,9.58
32,24,23.73,13.56,10.17
37,62,19.6,7.33,12.28
96,203,19.63,6.3,13.33
16,40,8.74,2.5,6.24
159,370,24.82,7.46,17.36
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
5,13,3.71,1.03,2.68
X,X,X,X,X
0,16,5.78,0,5.78
3,4,4.14,1.78,2.37
23,76,7.57,1.76,5.81
39,44,10.05,4.72,5.33
33,44,11.11,4.76,6.35
9,16,13.74,4.95,8.79
X,X,X,X,X
153,121,14.04,7.84,6.2
28,39,8.44,3.53,4.91
3,6,4.41,1.47,2.94
9,11,24.39,10.98,13.41
13,67,17.35,2.82,14.53
11,34,16.67,4.07,12.59
12,46,17.85,3.69,14.15
0,0,0,0,0
7,26,7.19,1.53,5.66
6,12,4.13,1.38,2.75
23,17,26.85,15.44,11.41
22,32,17.7,7.21,10.49
60,88,17.45,7.08,10.38
222,320,26.06,10.67,15.38
30,69,17.87,5.42,12.45
0,0,0,0,0
14,29,5.91,1.93,3.99
11,26,19.27,5.73,13.54
8,25,16.75,4.06,12.69
0,4,12.9,0,12.9
X,X,X,X,X
X,X,X,X,X
15,18,7.62,3.46,4.16
221,212,15.69,8.01,7.68
14,29,11.59,3.77,7.82
13,13,17.57,8.78,8.78
245,420,22.57,8.32,14.26
1,5,2.86,0.48,2.38
38,66,15.03,5.49,9.54
49,70,17.2,7.08,10.12
X,X,X,X,X
6,16,5.98,1.63,4.35
2,3,8.77,3.51,5.26
6,21,13.57,3.02,10.55
15,35,3.47,1.04,2.43
19,61,9.59,2.28,7.31
32,31,23.33,11.85,11.48
38,65,18.76,6.92,11.84
108,175,19.76,7.54,12.22
13,73,13.27,2.01,11.27
103,370,24.1,5.25,18.85
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
7,11,3.94,1.53,2.41
0,2,20,0,20
1,4,2.23,0.45,1.79
1,7,5.63,0.7,4.93
16,64,7.38,1.48,5.9
17,36,8.27,2.65,5.62
32,45,11.63,4.83,6.8
2,8,7.46,1.49,5.97
X,X,X,X,X
89,117,11.51,4.97,6.54
16,41,8.06,2.26,5.8
5,6,6.88,3.13,3.75
9,6,15.79,9.47,6.32
4,36,9.83,0.98,8.85
3,19,7.38,1.01,6.38
9,43,17.28,2.99,14.29
0,1,1.22,0,1.22
6,16,4.7,1.28,3.42
2,12,4.13,0.59,3.54
22,12,25,16.18,8.82
16,23,16.46,6.75,9.7
49,109,17.44,5.41,12.03
116,251,20.25,6.4,13.85
15,54,16.79,3.65,13.14
0,2,7.69,0,7.69
9,24,4.95,1.35,3.6
8,15,13.37,4.65,8.72
9,13,14.19,5.81,8.39
0,1,3.23,0,3.23
X,X,X,X,X
X,X,X,X,X
3,8,2.97,0.81,2.16
167,167,15.43,7.71,7.71
11,30,12.02,3.23,8.8
22,13,21.21,13.33,7.88
164,323,18.04,6.07,11.96
3,3,2.64,1.32,1.32
25,50,12.98,4.33,8.65
20,66,12.41,2.89,9.52
X,X,X,X,X
5,12,5.28,1.55,3.73
0,4,8,0,8
3,7,6.25,1.88,4.38
12,31,3.45,0.96,2.49
18,46,8.45,2.38,6.08
17,42,22.96,6.61,16.34
23,55,15.92,4.69,11.22
72,133,15.48,5.44,10.05
12,60,10.5,1.75,8.75
74,268,19.19,4.15,15.04
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
10,10,5.24,2.62,2.62
X,X,X,X,X
0,8,3.83,0,3.83
0,3,3.16,0,3.16
8,34,4.91,0.94,3.98
20,15,5.41,3.09,2.32
34,49,12.5,5.12,7.38
2,5,7.29,2.08,5.21
X,X,X,X,X
92,120,11.31,4.91,6.4
12,27,6.18,1.9,4.28
4,3,3.8,2.17,1.63
5,6,14.29,6.49,7.79
8,36,11,2,9
12,24,14.01,4.67,9.34
10,15,9.54,3.82,5.73
1,3,4.76,1.19,3.57
2,12,3.63,0.52,3.11
1,7,2.66,0.33,2.33
26,19,29.22,16.88,12.34
8,20,12.12,3.46,8.66
38,82,15.46,4.9,10.57
84,204,16.55,4.83,11.72
9,32,10.85,2.38,8.47
0,1,3.85,0,3.85
5,19,3.69,0.77,2.92
3,14,11.33,2,9.33
10,9,13.19,6.94,6.25
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
4,11,3.95,1.05,2.89
111,101,10.43,5.46,4.97
11,21,11,3.78,7.22
14,17,22.96,10.37,12.59
139,321,18.49,5.59,12.9
0,2,1.11,0,1.11
11,38,12.56,2.82,9.74
18,29,10.56,4.04,6.52
X,X,X,X,X
3,15,5.66,0.94,4.72
2,1,4.55,3.03,1.52
7,5,8.51,4.96,3.55
7,27,2.79,0.57,2.21
18,19,5.32,2.59,2.73
11,26,17.05,5.07,11.98
23,34,12.9,5.2,7.69
39,92,11.52,3.43,8.09
5,66,10.38,0.73,9.65
55,277,19.69,3.26,16.43
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,7,2.22,0.28,1.94
1,1,18.18,9.09,9.09
0,8,3.64,0,3.64
1,1,2.08,1.04,1.04
8,11,3.35,1.41,1.94
14,20,6.73,2.77,3.96
17,40,10.05,3,7.05
1,3,4.82,1.2,3.61
X,X,X,X,X
64,82,8.62,3.78,4.84
5,7,2.44,1.02,1.43
0,1,0.78,0,0.78
2,2,5.97,2.99,2.99
2,28,10.6,0.71,9.89
3,20,9.91,1.29,8.62
7,19,11.56,3.11,8.44
0,1,1.67,0,1.67
